S No,binary bit R,Binary bit S,Analog value,Analog Voltage,NTU
146,1,1,123,0.600585938,2-3NTU
147,1,1,143,0.698242188,2-3NTU
148,0,0,99,0.483398438,2-3NTU
149,0,0,96,0.46875,2-3NTU
150,1,1,137,0.668945313,2-3NTU
151,0,0,99,0.483398438,2-3NTU
152,0,0,97,0.473632813,2-3NTU
153,0,0,96,0.46875,2-3NTU
154,1,1,121,0.590820313,2-3NTU
155,1,1,140,0.68359375,2-3NTU
156,0,0,97,0.473632813,2-3NTU
157,0,0,96,0.46875,2-3NTU
158,1,1,137,0.668945313,2-3NTU
159,0,0,94,0.458984375,2-3NTU
160,0,0,97,0.473632813,3-4NTU
161,0,0,97,0.473632813,3-4NTU
162,1,0,136,0.6640625,3-4NTU
163,0,1,97,0.473632813,3-4NTU
164,0,0,97,0.473632813,3-4NTU
165,1,0,141,0.688476563,3-4NTU
166,0,1,93,0.454101563,3-4NTU
167,1,0,120,0.5859375,3-4NTU
168,1,1,117,0.571289063,3-4NTU
169,0,0,93,0.454101563,3-4NTU
170,1,1,118,0.576171875,3-4NTU
171,0,0,92,0.44921875,3-4NTU
172,0,0,88,0.4296875,3-4NTU
173,0,0,90,0.439453125,3-4NTU
174,1,1,126,0.615234375,3-4NTU
175,0,0,93,0.454101563,3-4NTU
176,0,0,95,0.463867188,3-4NTU
177,0,0,93,0.454101563,3-4NTU
178,1,1,121,0.590820313,3-4NTU
179,1,1,142,0.693359375,3-4NTU
180,0,0,98,0.478515625,3-4NTU
181,0,0,97,0.473632813,3-4NTU
182,1,1,139,0.678710938,3-4NTU
183,0,0,97,0.473632813,3-4NTU
184,0,0,98,0.478515625,3-4NTU
185,0,0,94,0.458984375,3-4NTU
186,1,1,122,0.595703125,3-4NTU
187,1,1,142,0.693359375,3-4NTU
188,0,0,96,0.46875,3-4NTU
189,0,0,98,0.478515625,3-4NTU
190,1,1,139,0.678710938,3-4NTU
191,0,0,97,0.473632813,3-4NTU
192,1,1,121,0.590820313,3-4NTU
193,1,1,133,0.649414063,3-4NTU
194,1,1,141,0.688476563,3-4NTU
195,1,1,141,0.688476563,3-4NTU
196,0,0,96,0.46875,3-4NTU
197,0,0,97,0.473632813,3-4NTU
198,1,1,139,0.678710938,3-4NTU
199,0,0,97,0.473632813,3-4NTU
200,0,0,97,0.473632813,3-4NTU
201,1,1,121,0.590820313,3-4NTU
202,0,0,98,0.478515625,3-4NTU
203,1,1,123,0.600585938,3-4NTU
204,0,0,97,0.473632813,3-4NTU
205,0,0,97,0.473632813,3-4NTU
206,0,0,94,0.458984375,3-4NTU
207,0,0,95,0.463867188,3-4NTU
208,0,0,97,0.473632813,3-4NTU
209,0,0,95,0.463867188,3-4NTU
210,0,0,97,0.473632813,3-4NTU
211,1,1,122,0.595703125,3-4NTU
212,0,0,99,0.483398438,3-4NTU
213,0,0,93,0.454101563,3-4NTU
214,1,1,136,0.6640625,3-4NTU
215,0,0,95,0.463867188,3-4NTU
216,1,1,122,0.595703125,3-4NTU
217,0,0,98,0.478515625,3-4NTU
218,1,1,122,0.595703125,3-4NTU
219,0,0,98,0.478515625,3-4NTU
220,0,0,97,0.473632813,3-4NTU
221,0,0,98,0.478515625,3-4NTU
222,1,1,141,0.688476563,3-4NTU
223,0,0,95,0.463867188,3-4NTU
224,0,0,98,0.478515625,3-4NTU
225,0,0,95,0.463867188,3-4NTU
226,1,1,123,0.600585938,3-4NTU
227,1,1,143,0.698242188,3-4NTU
228,0,0,99,0.483398438,3-4NTU
229,0,0,96,0.46875,3-4NTU
230,1,1,137,0.668945313,3-4NTU
231,0,0,99,0.483398438,3-4NTU
232,0,0,97,0.473632813,3-4NTU
233,0,0,96,0.46875,3-4NTU
234,1,1,121,0.590820313,3-4NTU
235,1,1,140,0.68359375,3-4NTU
236,0,0,97,0.473632813,3-4NTU
237,0,0,96,0.46875,3-4NTU
238,1,1,137,0.668945313,3-4NTU
239,0,0,94,0.458984375,3-4NTU
240,0,0,71,0.346679688,4-5NTU
241,1,0,103,0.502929688,4-5NTU
242,0,0,98,0.478515625,4-5NTU
243,1,0,103,0.502929688,4-5NTU
244,1,1,103,0.502929688,4-5NTU
245,1,0,102,0.498046875,4-5NTU
246,0,0,69,0.336914063,4-5NTU
247,0,1,71,0.346679688,4-5NTU
248,1,0,103,0.502929688,4-5NTU
249,0,0,76,0.37109375,4-5NTU
250,0,1,90,0.439453125,4-5NTU
251,0,0,69,0.336914063,4-5NTU
252,0,0,92,0.44921875,4-5NTU
253,1,0,101,0.493164063,4-5NTU
254,1,1,102,0.498046875,4-5NTU
255,1,0,102,0.498046875,4-5NTU
256,0,1,76,0.37109375,4-5NTU
257,0,0,97,0.473632813,4-5NTU
258,0,0,72,0.3515625,4-5NTU
259,0,0,67,0.327148438,4-5NTU
260,0,1,68,0.33203125,4-5NTU
261,0,1,74,0.361328125,4-5NTU
262,0,0,70,0.341796875,4-5NTU
263,0,0,95,0.463867188,4-5NTU
264,0,1,75,0.366210938,4-5NTU
265,0,1,74,0.361328125,4-5NTU
266,0,0,97,0.473632813,4-5NTU
267,0,0,68,0.33203125,4-5NTU
268,0,0,68,0.33203125,4-5NTU
269,0,1,97,0.473632813,4-5NTU
270,0,1,66,0.322265625,4-5NTU
271,0,0,75,0.366210938,4-5NTU
272,0,1,91,0.444335938,4-5NTU
273,0,0,76,0.37109375,4-5NTU
274,0,1,97,0.473632813,4-5NTU
275,0,1,76,0.37109375,4-5NTU
276,0,0,70,0.341796875,4-5NTU
277,0,1,64,0.3125,4-5NTU
278,0,1,95,0.463867188,4-5NTU
279,0,1,73,0.356445313,4-5NTU
280,0,1,75,0.366210938,4-5NTU
281,0,0,78,0.380859375,4-5NTU
282,0,0,93,0.454101563,4-5NTU
283,0,1,100,0.48828125,4-5NTU
284,0,0,73,0.356445313,4-5NTU
285,0,1,69,0.336914063,4-5NTU
286,0,1,92,0.44921875,4-5NTU
287,0,0,70,0.341796875,4-5NTU
288,0,0,68,0.33203125,4-5NTU
289,0,1,70,0.341796875,4-5NTU
290,0,0,63,0.307617188,4-5NTU
291,0,1,97,0.473632813,4-5NTU
292,1,0,103,0.502929688,4-5NTU
293,0,0,75,0.366210938,4-5NTU
294,0,0,74,0.361328125,4-5NTU
295,0,0,98,0.478515625,4-5NTU
296,0,1,90,0.439453125,4-5NTU
297,0,0,100,0.48828125,4-5NTU
298,1,0,101,0.493164063,4-5NTU
299,1,0,101,0.493164063,4-5NTU
300,0,0,67,0.327148438,4-5NTU
301,0,1,70,0.341796875,4-5NTU
302,0,0,97,0.473632813,4-5NTU
303,0,0,71,0.346679688,4-5NTU
304,0,1,71,0.346679688,4-5NTU
305,0,0,91,0.444335938,4-5NTU
306,0,0,69,0.336914063,4-5NTU
307,0,1,93,0.454101563,4-5NTU
308,0,0,70,0.341796875,4-5NTU
309,0,1,73,0.356445313,4-5NTU
310,0,0,70,0.341796875,4-5NTU
311,0,1,74,0.361328125,4-5NTU
312,0,0,65,0.317382813,4-5NTU
313,0,0,67,0.327148438,4-5NTU
314,0,1,70,0.341796875,4-5NTU
315,0,0,70,0.341796875,4-5NTU
316,0,1,98,0.478515625,4-5NTU
317,0,1,78,0.380859375,4-5NTU
318,0,0,73,0.356445313,4-5NTU
319,0,1,88,0.4296875,4-5NTU
320,0,0,93,0.454101563,5-6NTU
321,0,0,98,0.478515625,5-6NTU
322,0,0,95,0.463867188,5-6NTU
323,0,1,96,0.46875,5-6NTU
324,0,0,97,0.473632813,5-6NTU
325,0,0,97,0.473632813,5-6NTU
326,0,1,80,0.390625,5-6NTU
327,0,0,93,0.454101563,5-6NTU
328,0,1,98,0.478515625,5-6NTU
329,0,1,95,0.463867188,5-6NTU
330,0,0,96,0.46875,5-6NTU
331,0,1,97,0.473632813,5-6NTU
332,0,0,97,0.473632813,5-6NTU
333,0,0,80,0.390625,5-6NTU
334,0,1,94,0.458984375,5-6NTU
335,0,0,73,0.356445313,5-6NTU
336,0,1,86,0.419921875,5-6NTU
337,0,1,68,0.33203125,5-6NTU
338,0,0,85,0.415039063,5-6NTU
339,0,0,95,0.463867188,5-6NTU
340,0,0,98,0.478515625,5-6NTU
341,0,1,98,0.478515625,5-6NTU
342,0,0,65,0.317382813,5-6NTU
343,0,0,92,0.44921875,5-6NTU
344,0,1,82,0.400390625,5-6NTU
345,0,0,79,0.385742188,5-6NTU
346,0,1,67,0.327148438,5-6NTU
347,0,1,73,0.356445313,5-6NTU
348,0,0,81,0.395507813,5-6NTU
349,0,0,95,0.463867188,5-6NTU
350,0,1,76,0.37109375,5-6NTU
351,0,1,78,0.380859375,5-6NTU
352,0,0,75,0.366210938,5-6NTU
353,0,0,95,0.463867188,5-6NTU
354,0,1,77,0.375976563,5-6NTU
355,0,0,88,0.4296875,5-6NTU
356,0,1,75,0.366210938,5-6NTU
357,0,1,80,0.390625,5-6NTU
358,0,1,79,0.385742188,5-6NTU
359,0,1,89,0.434570313,5-6NTU
360,0,1,76,0.37109375,5-6NTU
361,0,1,93,0.454101563,5-6NTU
362,0,0,70,0.341796875,5-6NTU
363,0,0,72,0.3515625,5-6NTU
364,0,1,74,0.361328125,5-6NTU
365,0,0,94,0.458984375,5-6NTU
366,0,1,98,0.478515625,5-6NTU
367,0,0,99,0.483398438,5-6NTU
368,0,0,76,0.37109375,5-6NTU
369,0,1,74,0.361328125,5-6NTU
370,0,0,78,0.380859375,5-6NTU
371,0,1,91,0.444335938,5-6NTU
372,0,0,98,0.478515625,5-6NTU
373,0,0,76,0.37109375,5-6NTU
374,0,0,96,0.46875,5-6NTU
375,0,0,97,0.473632813,5-6NTU
376,0,1,97,0.473632813,5-6NTU
377,0,0,78,0.380859375,5-6NTU
378,0,0,76,0.37109375,5-6NTU
379,0,0,79,0.385742188,5-6NTU
380,0,0,89,0.434570313,5-6NTU
381,0,1,94,0.458984375,5-6NTU
382,0,0,74,0.361328125,5-6NTU
383,0,1,90,0.439453125,5-6NTU
384,0,0,96,0.46875,5-6NTU
385,0,0,96,0.46875,5-6NTU
386,0,1,96,0.46875,5-6NTU
387,0,0,77,0.375976563,5-6NTU
388,0,1,92,0.44921875,5-6NTU
389,0,0,95,0.463867188,5-6NTU
390,0,0,73,0.356445313,5-6NTU
391,0,0,83,0.405273438,5-6NTU
392,0,0,86,0.419921875,5-6NTU
393,0,1,94,0.458984375,5-6NTU
394,0,0,97,0.473632813,5-6NTU
395,0,1,97,0.473632813,5-6NTU
396,0,1,80,0.390625,5-6NTU
397,0,0,72,0.3515625,5-6NTU
398,0,0,74,0.361328125,5-6NTU
399,0,1,72,0.3515625,5-6NTU
